R_death_2018,Less than a high school diploma 2014-18,Employed_2018,anycondition_prevalence,Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Percent of Population Aged 60+,Internal Medicine Primary Care (2019),POP_ESTIMATE_2018,Civilian_labor_force_2018,Family Medicine/General Practice Primary Care (2019),R_birth_2018,Total Specialist Physicians (2019),30-39,60-69,Asian-alone pop,80+,CI90LBINC_2018,anycondition_number,40-49,Obesity_prevalence,Heart disease_prevalence,Some college or associate's degree 2014-18,Median_Household_Income_2018,Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),70-79,Active General Surgeons per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),High school diploma only 2014-18,Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Two or more races pop,19-Oct,Total nurse practitioners (2019),R_INTERNATIONAL_MIG_2018,COPD_prevalence,diabetes_prevalence,Bachelor's degree or higher 2014-18,N_POP_CHG_2018,Unemployed_2018,50-59,R_NET_MIG_2018,GQ_ESTIMATES_2018,CI90UBINC_2018,R_DOMESTIC_MIG_2018,COPD_number,Population Aged 60+,Total physician assistants (2019),CKD_prevalence,Native American/American Indian-alone pop,Hawaiian/Pacific Islander-alone pop,0-9,Black-alone pop,county_pop2018_18 and older,White-alone pop,Heart disease_number,20-29,diabetes_number,Active Physicians per 100000 Population 2018 (AAMC),Total Hospitals (2019),CKD_number
10.0,2546,11696,49.7,6.7,27.4,19.75050558,26625,12456,16.04279098,11.3,54.0788287,2829,3860,89,1208,47914,10213,2831,38.6,10.1,5727,50374,87.6,2460,7.9,97.8,6396,249.7,447,3463,11.77305929,13,11.3,13.7,3406,167,760,3831,237,303,52834,350,2314,7218,10.07635369,3.8,428,11,3221,337,20545,25313,2072,2922,2823,287.0,0.383556683,771
13.1,3913,21317,46.7,7.2,28.8,41.53459233,51266,22421,28.83724008,9.7,107.1469191,5341,8271,231,2928,43018,19282,5880,33.2,9.2,9051,45761,88.2,4801,8.7,100.8,18496,273.3,649,5751,28.03264746,0,9.9,13.1,6742,-557,1104,7885,43,1302,48504,162,4097,15253,22.69271433,3.5,109,22,5272,593,41304,49662,3796,5137,5416,320.5,0.796586726,1454
9.2,2678,16245,47.0,6.1,21.5,14.85331158,37779,16882,18.75999787,10.7,49.14972658,4363,4349,394,1561,50857,14283,4451,33.7,7.3,7263,54718,74.4,2713,6.5,80.3,10860,212.0,549,5118,19.49391292,6,9.2,12.2,3984,169,637,5107,153,5022,58579,44,2792,8058,4.770447847,2.9,135,18,3915,1435,30379,35248,2222,6202,3698,230.8,0.745206054,871
9.1,4804,43309,46.9,5.8,21.6,30.76958286,91984,44792,52.7211958,10.6,108.7549623,11357,10791,1370,3478,58266,33057,11444,36.5,7.8,21265,61849,68.5,6736,6.2,73.9,19984,189.1,7741,12646,26.38392586,1,8.1,11.2,14803,505,1483,12774,155,1216,65432,43,5716,19479,30.04641601,3.0,12403,79,11163,1175,70506,69216,5484,11595,7913,206.7,2.915995343,2118
10.3,8123,60219,48.0,6.7,23.2,99.76286363,134487,62865,81.03462274,12.0,273.1605422,15993,16909,4026,6039,45124,49754,15845,37.5,8.4,30526,48413,87.6,10074,7.9,97.8,33106,249.7,4721,17666,59.46754649,42,9.6,12.5,19318,129,2646,17982,154,4326,51702,5,10002,31227,50.89722362,3.4,1047,61,16698,15004,103686,109628,8686,17281,12987,287.0,1.93740423,3490
7.5,79408,562022,23.9,6.2,20.7,499.3636333,883305,575567,339.3698743,10.2,1312.350762,183382,93694,317204,39309,107200,182564,120821,16.8,4.6,131509,110601,87.1,54600,7.2,96.2,84630,243.8,38888,60660,344.1931335,54,3.8,8.8,394004,4139,13545,107395,131,24235,114002,170,28886,179193,176.7858465,2.3,6570,4015,72007,49184,764613,467444,35077,151437,67258,279.6,8.016435378,17872
11.4,2659,8778,46.1,6.1,24.7,9.605842687,20299,9182,6.582066976,10.0,24.67647977,2283,2664,136,800,45569,7266,2367,32.9,9.1,4124,48708,71.9,1826,7.0,79.1,5932,202.9,246,2532,9.291308264,3,10.6,15.5,1470,-237,404,2949,27,89,51847,29,1669,5131,6.419975617,3.9,73,14,2435,5724,15759,14106,1433,2443,2438,228.7,0.27980056,608
8.6,238,1512,40.4,8.6,26.7,1.076288064,2801,1557,1.717616055,15.5,3.04154562,350,377,20,184,47916,850,287,30.4,7.8,592,53107,84.8,232,9.2,92.8,607,219.1,51,402,1.501723464,54,6.1,10.3,372,44,45,331,96,96,58298,159,128,732,1.282655982,3.1,76,0,361,21,2106,2633,165,277,216,240.4,0.180968789,64
9.7,27363,328286,39.3,7.2,24.2,508.9498542,628195,341069,353.3610977,9.3,1312.939548,73278,84949,32220,30482,86842,196424,78076,29.8,6.3,109517,88538,88.2,49074,8.7,100.8,128245,273.3,11071,77403,343.5019111,40,6.4,10.7,180201,1167,12783,99861,151,8038,90234,46,31984,151809,278.0683041,2.7,1787,376,64634,27543,499979,555198,31557,70438,53389,320.5,9.761085292,13632
11.0,677,1534,48.3,7.3,26.0,2.028148426,4341,1624,2.351326316,10.3,5.995364193,652,527,54,260,26216,1660,457,35.7,7.6,881,29515,82.1,348,7.7,91.1,1412,213.8,101,543,2.117229511,0,5.8,14.3,391,-68,90,533,476,573,32814,361,201,1149,1.102119472,3.8,147,0,454,112,3436,3927,260,567,492,244.8,0.084937779,129
9.8,23963,133101,42.7,5.8,22.7,215.1831502,284081,141196,134.9827781,12.5,476.7875332,34363,34718,8150,12442,51486,93017,34061,32.9,7.8,64375,53795,87.2,21439,7.0,99.6,62181,240.5,8148,36896,110.6573385,13,8.6,11.9,43910,-659,8095,38394,276,4743,56104,355,18791,65218,55.56278212,3.3,1553,157,36179,38708,217591,227365,16890,35589,25818,284.4,4.169438305,7194
9.2,875,3919,51.0,7.6,22.9,3.87096998,8758,4089,3.72397112,13.1,12.65366187,955,1027,28,310,51081,3322,1121,38.7,9.8,1809,56769,72.9,719,8.3,77.3,2480,214.6,99,1243,5.750595403,4,11.9,14.0,636,-20,170,1202,399,90,62457,143,775,1996,1.932545013,3.3,31,1,1177,135,6520,8464,640,1004,914,230.9,0.205798404,217
2.6,135,837,48.6,9.7,33.4,0.901424461,1952,873,1.507510423,11.3,2.319049254,218,336,5,89,60694,710,185,36.9,8.9,516,68243,79.6,176,10.5,87.0,415,217.1,30,260,1.173649512,0,7.6,12.2,245,15,36,274,362,2,75792,26,111,608,0.582972515,3.3,54,1,269,8,1461,1854,130,145,178,237.6,0.100158273,48
13.7,15894,78000,52.2,9.2,26.4,97.53017113,180454,82263,124.0112115,10.1,280.0994566,21389,26324,2044,8956,39988,75463,22063,37.4,10.5,34460,41926,89.4,15745,10.5,100.1,50266,231.6,4421,20336,94.1326037,3,12.1,14.7,33388,-2856,4263,24637,390,3338,43864,550,17475,49628,66.75220729,3.6,301,59,19474,13771,144442,159858,15219,21530,21166,263.4,5.595993426,5256
9.4,645,6234,42.4,6.5,27.0,4.844515065,11964,6407,8.191703486,11.6,15.49259239,1251,1699,42,708,58883,3877,1260,35.0,8.0,2650,64190,77.9,1024,6.9,84.8,3627,193.1,89,1569,7.285726099,12,7.5,11.2,1412,-72,173,1725,15,95,69497,17,685,3281,3.23346741,3.1,18,2,1486,103,9149,11710,734,1242,1022,218.2,0.447302643,287
2.4,30,352,41.9,9.4,37.6,0.267478737,826,369,0.456424473,12.2,0.895742748,84,152,5,52,34598,273,72,31.5,9.1,165,38782,88.0,85,9.8,91.5,229,236.2,31,108,0.391887452,0,7.9,12.3,148,6,17,117,310,89,42966,307,52,281,0.304023797,3.6,14,0,89,7,651,769,59,67,80,247.1,0.04354305,23
9.5,1434,8979,46.3,6.1,24.4,7.510202965,19102,9323,9.485520507,10.4,24.85132156,2421,2570,95,913,47744,6984,2298,34.7,8.6,3732,52332,74.4,1455,6.5,80.3,6388,212.0,201,2266,9.856606172,0,10.4,13.0,2028,114,344,2625,282,1514,56920,50,1575,4691,2.412056825,3.2,69,7,2114,542,15089,18188,1293,2440,1963,230.8,0.376794676,486
8.7,51916,314530,37.5,7.3,20.9,317.094302,678701,329380,367.6220968,10.8,937.3553727,97313,80603,19454,25564,49762,199236,81193,27.3,6.2,146410,51372,82.1,48038,7.7,91.1,107599,213.8,20829,85588,331.0218352,40,6.0,11.4,157155,15,14850,86148,31,11913,52982,110,31913,140933,172.3127361,3.2,42255,1017,78747,23386,531331,571760,32977,95507,60774,244.8,13.27974094,16872
7.9,22840,324124,29.9,7.1,22.1,254.9919901,580233,334242,277.4043903,10.4,742.56357,86547,73792,17749,20968,82944,139023,74852,22.3,5.1,121561,85550,88.9,40954,7.8,95.4,84351,262.5,14608,66378,294.9268123,25,5.1,7.3,180236,4416,10118,81341,175,8757,88156,121,23563,124374,228.9121062,2.5,6944,678,61097,8173,465718,532081,23840,74304,33878,285.7,9.066834645,11726
10.1,4705,18561,48.8,6.1,20.0,19.1989085,40571,19337,13.15537905,13.6,49.32013698,5255,4257,664,1396,41914,14902,4756,36.8,8.0,7942,45680,71.9,2782,7.0,79.1,8886,202.9,555,5999,18.57025802,3,9.4,14.2,4257,133,776,4875,128,1554,49446,10,2860,8091,12.83141193,3.6,190,25,5585,12422,30551,26715,2457,5666,4348,228.7,0.559228954,1092
