R_death_2018,Less than a high school diploma 2014-18,Employed_2018,anycondition_prevalence,Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Percent of Population Aged 60+,Internal Medicine Primary Care (2019),POP_ESTIMATE_2018,Civilian_labor_force_2018,Family Medicine/General Practice Primary Care (2019),R_birth_2018,Total Specialist Physicians (2019),30-39,60-69,Asian-alone pop,80+,CI90LBINC_2018,anycondition_number,40-49,Obesity_prevalence,Heart disease_prevalence,Some college or associate's degree 2014-18,Median_Household_Income_2018,Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),70-79,Active General Surgeons per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),High school diploma only 2014-18,Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Two or more races pop,19-Oct,Total nurse practitioners (2019),R_INTERNATIONAL_MIG_2018,COPD_prevalence,diabetes_prevalence,Bachelor's degree or higher 2014-18,N_POP_CHG_2018,Unemployed_2018,50-59,R_NET_MIG_2018,GQ_ESTIMATES_2018,CI90UBINC_2018,R_DOMESTIC_MIG_2018,COPD_number,Population Aged 60+,Total physician assistants (2019),CKD_prevalence,Native American/American Indian-alone pop,Hawaiian/Pacific Islander-alone pop,0-9,Black-alone pop,county_pop2018_18 and older,White-alone pop,Heart disease_number,20-29,diabetes_number,Active Physicians per 100000 Population 2018 (AAMC),Total Hospitals (2019),CKD_number
11.1,1179,3916,46.5,6.3,27.0,4.50749517,9038,4040,3.956791311,10.4,12.46988777,1251,1114,57,577,44241,3483,1213,37.0,9.3,1869,49399,81.7,795,7.3,90.3,2600,231.8,202,903,4.75154505,0,9.8,14.8,1049,113,124,1266,555,1666,54557,515,734,2400,2.230403684,3.9,44,4,812,2695,7485,6036,698,1107,1107,263.2,0.101864298,293
8.8,10152,117172,39.9,6.1,23.0,134.1937401,269805,122885,158.1466782,11.6,398.0341004,36139,34993,14730,9778,74061,85526,29901,29.7,6.5,71771,76530,91.7,21751,6.9,100.6,41056,246.3,16585,29948,108.73703,2,6.0,10.1,58452,3255,5713,34984,426,9300,78999,443,12803,59433,68.3142092,2.8,4669,2685,30843,8384,214553,222752,13982,41468,21777,278.8,3.293976544,5976
9.8,3146,4360,64.1,7.6,20.6,7.694204774,17408,4654,7.402019782,11.9,25.15128406,2419,1912,66,526,27041,8737,2423,43.5,13.0,3084,30029,72.9,1341,8.3,77.3,5285,214.6,274,2129,11.43027686,3,16.8,19.1,851,-15,294,2338,48,1936,33017,5,2289,3649,3.841258687,4.4,130,10,2076,988,13625,15940,1768,2244,2604,230.9,0.409058988,594
7.9,7278,60206,41.5,6.7,21.7,87.03352369,117327,62239,70.69493098,11.7,238.3063562,14075,15057,1053,4096,58055,36873,14215,30.6,7.6,23472,62247,87.6,8452,7.9,97.8,29465,249.7,2269,15892,51.87972687,2,9.0,10.6,17640,894,2033,16816,163,955,66439,350,7975,24717,44.4029427,3.0,870,43,15179,1776,88955,111316,6739,13545,9428,287.0,1.690199246,2639
7.5,11004,106375,33.1,6.1,22.3,112.2496404,225685,111670,132.2856621,10.3,332.9453715,28415,27837,10474,8274,59283,60192,25417,25.1,6.2,50020,62262,91.7,17317,6.9,100.6,33282,246.3,8975,27050,90.95575184,56,6.1,9.3,48346,4035,5295,26368,273,5720,65241,191,11009,47353,57.14309336,2.8,7623,712,24496,2885,181775,195016,11305,40511,16961,278.8,2.755327353,5054
8.8,1118,12692,38.6,8.6,26.4,9.891014299,25741,13076,15.78477503,9.2,27.95159793,3054,4185,382,1287,47241,8159,2547,29.2,7.4,5064,51774,84.8,2271,9.2,92.8,5239,219.1,494,3147,13.80073677,53,5.8,9.4,6067,135,384,3310,282,1074,56307,159,1227,6595,11.78752147,3.0,607,20,2389,214,21141,24024,1573,3551,1997,240.4,1.6630909,627
11.6,771,6667,43.5,6.6,27.9,6.832015161,11924,6887,7.450402848,12.0,19.93928406,1409,1618,104,748,48757,3969,1144,33.9,8.0,2948,53540,96.0,1022,7.4,104.9,2965,265.0,217,1428,6.120125557,42,6.7,11.6,1581,-34,220,1564,5,237,58323,270,614,3359,3.850578996,3.3,165,171,1604,104,9116,11163,725,1387,1056,302.7,0.269880537,302
13.7,1446,3940,60.6,9.2,31.1,6.896411183,12760,4198,8.768899876,7.8,19.80598417,1380,2159,41,762,31548,6440,1672,43.1,12.4,2762,34768,89.4,1338,10.5,100.1,4422,231.6,204,1243,6.656167351,4,15.3,17.9,1395,-131,258,1828,136,1103,37988,30,1632,4109,4.720084703,4.2,49,3,1060,574,10633,11889,1323,1318,1907,263.4,0.395695724,444
13.6,293,2205,44.3,6.3,28.8,2.525553833,5064,2286,2.216993937,6.1,6.986889982,478,792,8,264,45313,1848,625,31.6,8.4,1211,50858,81.7,546,7.3,90.3,1686,231.8,44,572,2.662295213,0,8.8,11.6,722,-1,81,841,174,9,56403,209,366,1476,1.249697306,3.2,20,0,422,22,4176,4970,350,524,485,263.2,0.057074663,132
6.6,317,6458,35.1,6.3,18.4,7.429038289,14896,6729,6.521394487,5.8,20.55227353,1418,1485,949,629,48078,4623,995,27.4,5.7,1435,52845,81.7,1080,7.3,90.3,1404,231.8,543,2839,7.831269647,36,5.7,8.9,4127,7,271,1342,169,4279,57612,68,751,2733,3.676044841,2.5,77,20,971,2404,13184,10903,748,4137,1169,263.2,0.167887871,336
